-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ModVersion{}{}	Completionist Version:{}{}
-----------------------------------------------------------------------------------------------------------------------------------------

$Header0	~~ Story Quests ~~
$Header1	~~ Creation Club ~~
$Header2	~~ Towns & Cities ~~
$Header3	~~ Guilds & Factions ~~
$Header4	~~ Dungeons & Misc ~~
$Header5	~~ Legacy of the Dragonborn ~~
$Header6	~~ Interesting NPC's ~~
$Header7	~~ Vigilant ~~
$Header8	~~ Miscellaneous Mods ~~
$Header9	~~ Misc Tracking Pages ~~

$HeaderLocations	~~ Locations ~~
$HeaderBooks	~~ Books ~~
$HeaderItems	~~ Unique Items ~~
$HeaderEnchantments	~~ Enchantments ~~
$HeaderFossils	~~ Fossils ~~
$HeaderFishing	~~ Fishing ~~
$HeaderAOSR	~~ Artifacts of Skyrim ~~
$HeaderSUT	~~ Skyrim's Unique Treasures ~~
$HeaderVIG	~~ Vigilant ~~

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MCMPageSettings	Completionist Settings
$MCMPageSettings2	UI & Profile Settings

$MCMPageSettingsWait	=== Please Wait ===
$MCMPageSettingsHeader	Completionist Settings:
$MCMPageSettingsHeader2	Faction & Start Settings:

$MCMPageMain	Main Quests
$MCMPageMainCW	Main Quests (CW)
$MCMPageMainDG	Main Quests (DG)
$MCMPageMainDB	Main Quests (DB)
$MCMPageMainDawnstar	Dawnstar
$MCMPageMainFalkreath	Falkreath
$MCMPageMainMarkarth	Markarth
$MCMPageMainMorthal	Morthal
$MCMPageMainRavenRock	Raven Rock
$MCMPageMainRiften	Riften
$MCMPageMainSkaal	Skaal Village
$MCMPageMainSolitude	Solitude
$MCMPageMainTelMithryn	Tel Mithryn
$MCMPageMainThirsk	Thirsk
$MCMPageMainWhiterun	Whiterun
$MCMPageMainWindhelm	Windhelm
$MCMPageMainWinterhold	Winterhold
$MCMPageMainCompanions	Companions
$MCMPageMainCollege	College of Winterhold
$MCMPageMainThieves	Thieves Guild
$MCMPageMainBrotherhood	Dark Brotherhood
$MCMPageMainDawnguard	Dawnguard
$MCMPageMainVampires	Vampires
$MCMPageMainDungeons	Dungeons
$MCMPageMainMiscSide	Misc (Side)
$MCMPageMainMiscRadi	Misc (Radiant)
$MCMPageMainMiscDG	Misc (Dawnguard)
$MCMPageMainMiscDB	Misc (Dragonborn)
$MCMPageMainSmall	Small Towns
$MCMPageMainFarming	Farming & Fishing (CC)
$MCMPageMainCreations1	Creations A-G (CC)
$MCMPageMainCreations2	Creations H-W (CC)

$RadiantJobsHeaderChopWood	Earnings: Wood Chopping
$RadiantJobsHeaderMineOre	Earnings: Ore Mining
$RadiantJobsHeaderHarvestCrops	Earnings: Harvesting
$RadiantJobsHeaderGiveGold	Beggars: Gold Given

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

;LOTD Pages
$MCMPageMuseum	Museum Quests
$MCMPageExplorer	Explorers Guild
$MCMPageMisc	Misc Quests
$MCMPageNotes	Auryen's Notes
$MCMPageJournals	Sanamia's Journals

;3DNPC Pages
$MCMPage3DNPCMain	3DNPC Main Quests
$MCMPage3DNPCBlood	3DNPC Blood of Kings
$MCMPage3DNPCSteel	3DNPC Darkened Steel
$MCMPage3DNPCMisc	3DNPC Misc Quests

;Vigilant Pages
$MCMPageVigilantMain	Vigilant Main Quests
$MCMPageVigilantSide	Vigilant Side Quests
$MCMPageVigilantMemory	Vigilant Memory Quests
$MCMPageVigilantRadiant	Vigilant Radiant Quests

;Misc Quest Pages
$MCMPageTeldrynSerious	Teldryn Serious
$MCMPageBeyondReach	Beyond Reach
$MCMPageInterestingNPCs	Interesting NPC's
$MCMPageThunderchild	Thunderchild
$MCMPageWintersun	Wintersun
$MCMPageOblivionArtifacts	Oblivion Artifact Pack
$MCMPageUnderground	Skyrim Underground
$MCMPageBrotherhood	The Brotherhood of Old
$MCMPageLull	The Wheels Of Lull
$MCMPageGrayCowl	The Gray Cowl Of Nocturnal
$MCMPageUndeath	Undeath
$MCMPageClockwork	Clockwork
$MCMPageFalskaar	Falskaar
$MCMPageHelgen	Helgen Reborn
$MCMPageMoonpath	Moonpath To Elsweyr
$MCMPageMoonStar	Moon And Star
$MCMPageProjectAHO	Project AHO
$MCMPageWyrmstooth	Wyrmstooth
$MCMPageAdditionalHearthfireDolls	Additional Hearthfire Dolls

$MCMPagePets	Pets
$MCMPageClaws	Dragon Claws
$MCMPageMasks	Dragon Priest Masks
$MCMPageShouts	Dragon Shouts
$MCMPageHouses	Player Homes
$MCMPageShrines	Shrines
$MCMPageDoomstone	Standing Stones
$MCMPageBarenziah	Stones of Barenziah

$MCMPageFossilMining1	Fossils: (Common)
$MCMPageFossilMining2	Fossils: (Uncommon)
$MCMPageFossilMining3	Fossils: (Rare)

$MCMPageAEnchantments	Enchantments: (Armor)
$MCMPageWEnchantments	Enchantments: (Weapon)

$MCMPageLocations1	Locations: (A-G)
$MCMPageLocations2	Locations: (H-R)
$MCMPageLocations3	Locations: (S-Z)
$MCMPageLocations4	Locations: (Dawnguard)
$MCMPageLocations5	Locations: (Dragonborn)
$MCMPageLocationsCC	Locations: (Creation Club)

$MCMPageBooks1	Books: (A-G)
$MCMPageBooks2	Books: (H-S)
$MCMPageBooks3	Books: (T-Y)
$MCMPageBooks4	Books: (Maps)
$MCMPageBooks5	Books: (Skill Books)
$MCMPageBooks6	Books: (Spell Tomes)
$MCMPageBooks7	Books: (Dawnguard)
$MCMPageBooks8	Books: (Dragonborn)
$MCMPageBooksCC	Books: (Creation Club)

$MCMPageArmor	Items: (Armor)
$MCMPageItems	Items: (Items)
$MCMPageJewelry	Items: (Jewelry)
$MCMPageLiquor	Items: (Liquor)
$MCMPageWeapons	Items: (Weapons)
$MCMPageCCItems	Items: (Creation Club)

$MCMPageFishF	Fish
$MCMPageFishI	Items
$MCMPageFishB	Books
$MCMPageFishL	Locations

$MCMPageArtifactsofSkyrimL	Locations
$MCMPageArtifactsofSkyrimB	Books
$MCMPageArtifactsofSkyrimW	Weapons
$MCMPageArtifactsofSkyrimA	Armor
$MCMPageArtifactsofSkyrimI	Items

$MCMPagePatches	Custom Patches

$MCMPageSUT1	Unique Treasures: (1/3)
$MCMPageSUT2	Unique Treasures: (2/3)
$MCMPageSUT3	Unique Treasures: (3/3)

$MCMPageVIG1	Books
$MCMPageVIG2	Items
$MCMPageVIG3	Locations

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$PageHeaderGenericA	Armor:
$PageHeaderGenericI	Items:
$PageHeaderGenericB	Books:
$PageHeaderGenericT	Tomes:
$PageHeaderGenericW	Weapons:
$PageHeaderGenericL	Locations:

$PageHeaderGenericFoundI{}{}	{}/{} Found
$PageHeaderGenericFoundB{}{}	{}/{} Read
$PageHeaderGenericFoundL{}{}	{}/{} Discovered
$PageHeaderGenericFoundC{}{}	{}/{} Caught
$PageHeaderGenericFoundS{}{}	{}/{} Learnt
$PageHeaderGenericFoundO{}{}	{}/{} Owned

$PageHeaderAEnchantments	Enchantments (Armor):
$PageHeaderWEnchantments	Enchantments (Weapon):
$PageHeaderSEnchantments	Enchantments (Summermyst):

$PageHeaderDoomstone1	Standing Stones:
$PageHeaderDoomstone3	Standing Stones (Andromeda):

$PageHeaderShrines1	Shrines:
$PageHeaderShrines3	Shrines (Wintersun):

$PageHeaderShouts1	Shouts (Vanilla):
$PageHeaderShouts2	Shouts (Patches):
$PageHeaderShouts3	Shouts (Thunderchild):

$PageHeaderArmor1	Armor:
$PageHeaderWeapon1	Weapons:
$PageHeaderJewelry1	Jewelry:
$PageHeaderItems1	Items:
$PageHeaderLiquor1	Liquor:

$PageHeaderMaps1	Maps (Vanilla):
$PageHeaderMaps2	Maps (New Treasure Hunt):
$PageHeaderMaps3	Maps (Treasure Hunter):

$PageHeaderBooks1	Books:
$PageHeaderBooks2	Tomes:
$PageHeaderPlaces1	Locations:

$PageHeaderFishingL	Fishing Spots - Lakes:
$PageHeaderFishingS	Fishing Spots - Streams:
$PageHeaderFishingC	Fishing Spots - Caves:
$PageHeaderFishingA	Fishing Spots - Arctic:

$PageHeaderHouses1	Player Homes:
$PageHeaderHouses3	Player Homes (Patches):

$PageHeaderClaws1	Dragon Claws:
$PageHeaderClaws3	Dragon Claws (Patches):

$PageHeaderPets1	Pets (Miscellaneous):
$PageHeaderPets3	Pets (Pets of Skyrim):
$PageHeaderPets4	Pets (Saints & Seducers):
$PageHeaderPets5	Pets (Adoptable Critters):

$PageHeaderMasks1	Dragon Priest Masks:
$PageHeaderMasks3	Dragon Priest Masks (Patches):

$PageHeaderBarenziah1	Stones of Barenziah:

$PageHeaderFish	Fish:
$PageHeaderDolls	Dolls:
$PageHeaderFossilsC	Common Fossils:
$PageHeaderFossilsU	Uncommon Fossils:
$PageHeaderFossilsR	Rare Fossils:

$PageHeaderSUTJA	Jade Statues:
$PageHeaderSUTFI	Figurines & Models:
$PageHeaderSUTPL	Unique Plates:
$PageHeaderSUTIN	Musical Instruments:

$PageHeaderSUTSK	Unique Skulls:
$PageHeaderSUTGL	Glass Ornaments:
$PageHeaderSUTGE	Gems & Stones:
$PageHeaderSUTWI	Wine Glasses:

$PageHeaderSUTWE	Armor & Weapons:
$PageHeaderSUTAL	Alcohol:
$PageHeaderSUTGO	Gold Ornaments:
$PageHeaderSUTCO	Copper Ornaments:

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$HouseList0	Breezehome
$HouseList1	Heljarchen Hall
$HouseList2	Hjerim
$HouseList3	Honeyside
$HouseList4	Lakeview Manor
$HouseList5	Proudspire Manor
$HouseList6	Severin Manor
$HouseList7	Vlindrel Hall
$HouseList8	Windstad Manor

$HouseHighlight00	~~~ Breezehome ~~~             \nBreezehome can be purchased in Whiterun.
$HouseHighlight01	~~~ Heljarchen Hall ~~~        \nHeljarchen Hall can be purchased in The Pale.
$HouseHighlight02	~~~ Hjerim ~~~                 \nHjerim can be purchased in Windhelm.
$HouseHighlight03	~~~ Honeyside ~~~              \nHoneyside can be purchased in Riften.
$HouseHighlight04	~~~ Lakeview Manor ~~~         \nLakeview Manor can be purchased in Falkreath.
$HouseHighlight05	~~~ Proudspire Manor ~~~       \nProudspire Manor can be purchased in Solitude.
$HouseHighlight06	~~~ Severin Manor ~~~          \nSeverin Manor can be acquired in Raven Rock.
$HouseHighlight07	~~~ Vlindrel Hall ~~~          \nVlindrel Hall can be purchased in Markarth.
$HouseHighlight08	~~~ Windstad Manor ~~~         \nWindstad Manor can be purchased in Hjaalmarch.
$HouseHighlight09	~~~ Clockwork Castle ~~~       \nClockwork Castle can be acquired in the Velothi Mountains.
$HouseHighlight10	~~~ Horndew Lodge ~~~          \nHorndew Lodge can be purchased in Amber Creek.
$HouseHighlight11	~~~ Moonlight Home ~~~         \nMoonlight Home can be purchased in the central area of Ben Erai.
$HouseHighlight12	~~~ Private Tower ~~~          \nPrivate Tower can be acquired in Helgen.
$HouseHighlight14	~~~ The Priderock ~~~          \nThe Priderock can be acquired in Elsweyr.
$HouseHighlight15	~~~ Hla Fang ~~~               \nHla Fang can be purchased in Sadrith Kegran.
$HouseHighlight16	~~~ High Hrothgar Library ~~~  \nHigh Hrothgar Library can be acquired in High Hrothgar.
$HouseHighlight17	~~~ Fort Valus ~~~             \nFort Valus can be purchased in Wyrmstooth.
$HouseHighlight18	~~~ Bloodchill Manor ~~~       \nBloodchill Manor can be acquired in Bloodchill Cavern.
$HouseHighlight19	~~~ Dead Man's Dread ~~~       \nDead Man's Dread can be acquired in the Grotto on Blackbone Isle.
$HouseHighlight20	~~~ Goldenhills Plantation ~~~ \nGoldenhills Plantation can be acquired near Rorikstead.
$HouseHighlight21	~~~ Gallows Hall ~~~           \nGallows Hall can be acquired on the northern edge of Mara’s Eye Pond.
$HouseHighlight22	~~~ Hendraheim ~~~             \nHendraheim can be acquired in the Reach, north of Bilegulch Mine.
$HouseHighlight23	~~~ Myrwatch ~~~               \nMyrwatch can be acquired just outside Morthal.
$HouseHighlight24	~~~ Nchuanthumz ~~~            \nNchuanthumz can be acquired in Frostroot Cave, north of Kagrenzel.
$HouseHighlight25	~~~ Tundra Homestead ~~~       \nTundra Homestead can be acquired just east of Whiterun and purchased from the Whiterun Steward.
$HouseHighlight26	~~~ Shadowfoot Sanctum ~~~     \nShadowfoot Sanctum can be purchased from Vekel the Man in the Ragged Flagon.

$HouseHighlightCustom{}{}{}	~~~ {} ~~~     \n{} can be acquired in {}.

-----------------------------------------------------------------------------------------------------------------------------------------
